City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Kirakira,SB,2020-02-22 21:44:44,-10.45,161.92,79.99,82,0,4.76
259,Kavieng,PG,2020-02-22 21:44:45,-2.57,150.8,83.43,73,13,5.53
260,Flinders,AU,2020-02-22 21:44:45,-34.58,150.86,71.01,82,100,2.24
261,Gravdal,NO,2020-02-22 21:44:45,68.12,13.5,40.59,78,97,21.0
262,Boyuibe,BO,2020-02-22 21:44:45,-20.42,-63.28,77.0,50,20,4.7
263,Poum,NC,2020-02-22 21:44:46,-20.23,164.02,80.56,81,0,18.79
264,Berlin,DE,2020-02-22 21:41:18,52.52,13.41,46.99,75,100,20.8
265,Batagay-Alyta,RU,2020-02-22 21:44:01,67.8,130.41,-20.2,80,40,2.21
266,Velasco Ibarra,EC,2020-02-22 21:44:46,-1.05,-79.62,85.69,68,73,4.47
267,Saint-Jean-Port-Joli,CA,2020-02-22 21:44:47,47.22,-70.27,34.0,69,100,14.0
268,Tucupita,VE,2020-02-22 21:44:47,9.06,-62.05,84.02,69,76,5.73
269,Tacna,PE,2020-02-22 21:44:47,-18.01,-70.25,77.0,65,99,10.29
270,Kununurra,AU,2020-02-22 21:44:47,-15.77,128.73,73.4,88,58,1.12
271,Tamala,RU,2020-02-22 21:44:48,52.54,43.25,27.39,95,100,9.64
272,Darovskoy,RU,2020-02-22 21:44:48,58.77,47.96,28.63,89,79,12.12
273,Kentau,KZ,2020-02-22 21:44:48,43.52,68.51,28.78,87,20,4.23
274,Makinsk,KZ,2020-02-22 21:44:48,52.63,70.42,13.95,93,78,5.3
275,Saint-Francois,FR,2020-02-22 21:44:48,46.42,3.91,46.99,80,97,1.12
276,Komsomolskiy,UZ,2020-02-22 21:44:49,40.43,71.72,44.6,86,87,6.93
277,Playas,EC,2020-02-22 21:44:49,-2.63,-80.38,82.09,75,100,7.94
278,Mecca,SA,2020-02-22 21:44:49,21.43,39.83,69.26,49,0,2.19
279,Presidencia Roque Saenz Pena,AR,2020-02-22 21:44:49,-26.79,-60.44,77.61,35,0,5.5
280,Lata,PT,2020-02-22 21:44:50,40.16,-8.33,59.0,93,0,3.36
281,Bambous Virieux,MU,2020-02-22 21:44:50,-20.34,57.76,77.0,88,75,3.36
282,Mineros,BO,2020-02-22 21:44:50,-17.12,-63.23,80.6,44,40,17.22
283,Barra Do Bugres,BR,2020-02-22 21:43:12,-15.07,-57.18,68.36,96,100,4.99
284,Chapais,CA,2020-02-22 21:43:38,49.78,-74.85,33.8,55,75,10.29
285,Alofi,NU,2020-02-22 21:44:51,-19.06,-169.92,80.22,88,44,10.51
286,Juliaca,PE,2020-02-22 21:44:51,-15.5,-70.13,55.4,62,75,11.41
287,Kharp,RU,2020-02-22 21:44:52,66.8,65.81,12.2,96,88,4.74
288,Havoysund,NO,2020-02-22 21:44:52,71.0,24.66,32.0,70,84,13.87
289,Ilulissat,GL,2020-02-22 21:44:52,69.22,-51.1,-0.4,54,20,5.82
290,Souillac,MU,2020-02-22 21:44:52,-20.52,57.52,77.0,88,75,3.36
291,Kruisfontein,ZA,2020-02-22 21:44:53,-34.0,24.73,63.36,84,100,16.15
292,Lanzhou,CN,2020-02-22 21:44:53,36.06,103.79,34.0,48,0,6.71
293,Funadhoo,MV,2020-02-22 21:44:53,6.15,73.27,83.08,77,100,16.78
294,Grand-Santi,GF,2020-02-22 21:44:53,4.25,-54.38,79.81,90,96,3.4
295,Chiguayante,CL,2020-02-22 21:44:54,-36.92,-73.02,68.0,60,20,10.29
296,Merritt Island,US,2020-02-22 21:42:41,28.54,-80.67,71.6,56,40,10.29
297,Viedma,AR,2020-02-22 21:44:54,-40.81,-63.0,78.15,26,0,1.1
298,Tuktoyaktuk,CA,2020-02-22 21:44:54,69.45,-133.04,3.2,84,90,6.93
299,Virginia Beach,US,2020-02-22 21:40:50,36.85,-75.98,51.01,29,20,6.93
300,Gwalior,IN,2020-02-22 21:44:55,26.22,78.18,59.68,81,0,3.22
301,Chokurdakh,RU,2020-02-22 21:44:12,70.63,147.92,-13.88,97,100,1.48
302,Lufilufi,WS,2020-02-22 21:44:55,-13.87,-171.6,80.6,94,75,23.49
